date,open,high,low,close,volume,amount,pctChg,turn
2024-01-02,35.3984722,35.40725594,34.66063804,34.66942178,43759204,1740486365.32,-2.0596,0.4066
2024-01-03,34.66942178,34.83631284,34.42347706,34.6079356,36382151,1432855498.63,-0.1773,0.338
2024-01-04,34.57280064,34.76604292,33.95793884,34.1687486,46739190,1819793956.96,-1.269,0.4343
2024-01-05,34.1248299,34.76604292,33.97550632,34.23023478,49920187,1955115159.54,0.1799,0.4638
2024-01-08,34.23023478,34.40590958,33.57145428,33.7734803,51473197,1983794142.0,-1.3344,0.4783
2024-01-09,33.7734803,33.88766892,33.5538868,33.71199412,37065054,1423188301.14,-0.1821,0.3444
2024-01-10,33.63294046,33.7734803,33.22010468,33.22010468,44130380,1677706637.6,-1.4591,0.41
2024-01-11,33.2025372,33.95793884,33.04442988,33.75591282,38157129,1457906650.77,1.6129,0.3545
2024-01-12,33.54510306,33.85253396,33.40456322,33.40456322,30300054,1158392102.61,-1.0409,0.2815
2024-01-15,33.26402338,33.80861526,33.1146998,33.52753558,32702181,1244858223.33,0.3681,0.3038
2024-01-16,33.41334696,34.04577624,33.32550956,33.9930738,54496285,2095337501.25,1.3885,0.5063
2024-01-17,33.78226404,33.8613177,33.38699574,33.38699574,56122897,2148072059.83,-1.7829,0.5215
2024-01-18,33.1586185,34.28293722,33.06199736,34.24780226,86154364,3289028900.73,2.5783,0.8005
2024-01-19,34.0809112,34.55523316,33.8613177,34.4322608,63974391,2493579882.19,0.5386,0.5944
2024-01-22,34.31807218,35.07347382,34.23023478,34.67820552,96109863,3800265430.86,0.7143,0.893
2024-01-23,34.4322608,34.88023154,33.9930738,34.57280064,60172097,2363927977.29,-0.304,0.5591
2024-01-24,34.83631284,35.3984722,34.32685592,35.28428358,76115099,3023883703.2,2.0579,0.7072
2024-01-25,35.2667161,36.46130474,35.13496,36.1450901,98658100,4022141715.25,2.4396,0.9167
2024-01-26,36.0572527,36.31198116,35.7059031,36.2329275,78592524,3225824129.23,0.243,0.7302
2024-01-29,36.24171124,36.61941206,35.94306408,35.99576652,62078477,2560232020.12,-0.6545,0.5768
2024-01-30,35.6619844,35.93428034,35.28428358,35.30185106,57063998,2308550032.86,-1.9278,0.5302
2024-01-31,35.2667161,35.8815779,35.12617626,35.58293074,55701366,2253897731.11,0.7962,0.5175
2024-02-01,35.24036488,35.68833562,35.07347382,35.3984722,49092479,1980485848.94,-0.5184,0.4561
2024-02-02,35.3984722,35.6180657,34.256586,35.2227974,69077347,2771398286.31,-0.4963,0.6418
2024-02-05,35.13496,36.00455026,34.85388032,35.73225432,80614793,3247211014.41,1.4464,0.749
2024-02-06,35.72347058,36.61062832,35.45995838,36.50522344,82383496,3381216758.7,2.1632,0.7655
2024-02-07,36.61941206,37.2430576,36.3207649,37.22549012,91615404,3833614844.28,1.9731,0.8512
2024-02-08,37.34846248,37.7261633,37.0234641,37.57683972,76874651,3274133648.91,0.9438,0.7143
2024-02-19,37.76129826,37.84035192,37.34846248,37.53292102,54413427,2324847504.07,-0.1169,0.5056
2024-02-20,37.4626511,37.48021858,36.9795454,37.1991389,46935509,1989976125.05,-0.8893,0.4361
2024-02-21,37.04981532,38.9119682,36.90927548,38.28832266,111249194,4827664819.26,2.928,1.0337
2024-02-22,38.08629664,38.42007876,37.95454054,38.3849438,51745219,2252345679.89,0.2524,0.4808
2024-02-23,38.36737632,39.0437243,38.2971064,38.70994218,64421676,2843810762.75,0.8467,0.5986
2024-02-26,38.5606186,38.56940234,37.6822446,37.7261633,61619568,2667499279.49,-2.5414,0.5725
2024-02-27,37.61197468,37.9018381,37.5065698,37.87548688,42901252,1840668677.61,0.3958,0.3986
2024-02-28,37.93697306,38.01602672,37.4626511,37.4626511,53576359,2298186002.07,-1.09,0.4978
2024-02-29,37.34846248,37.83156818,37.330895,37.6822446,45509167,1948642485.44,0.5862,0.4228
