date,open,high,low,close,volume,amount,pctChg,turn
2024-01-02,151.56182156,151.85145394,146.32975276,146.52595534,21403268,3390080350.21,-3.9385,0.5495
2024-01-03,145.8439178,146.94638944,144.2556112,145.5636284,19757581,3070016674.07,-0.6568,0.5073
2024-01-04,145.283339,145.48888456,139.92981146,141.2658576,27241762,4114835334.93,-2.9525,0.6994
2024-01-05,141.06965502,144.56392954,139.66820802,140.9855682,21035318,3195235676.67,-0.1984,0.5401
2024-01-08,140.3315596,143.31197022,139.28514584,140.1447,19385405,2926528361.75,-0.5964,0.4977
2024-01-09,140.10732808,141.42468826,136.1739335,138.9301126,23391625,3473507460.23,-0.8667,0.6006
2024-01-10,137.28574812,143.05036678,136.9213719,140.76133668,23211960,3500326619.89,1.3181,0.596
2024-01-11,140.76133668,147.40419546,138.75259598,144.64801636,32801802,5037065544.25,2.7612,0.8422
2024-01-12,143.881892,146.99310434,142.2001556,144.47049974,25462228,3943737150.63,-0.1227,0.6537
2024-01-15,143.414743,143.6016026,139.5374063,141.7330066,17272193,2618158007.72,-1.8948,0.4435
2024-01-16,141.69563468,146.9183605,140.66790688,146.6380711,28469270,4421625828.65,3.4608,0.7309
2024-01-17,146.55398428,146.55398428,141.7797215,142.23752752,21761525,3343384131.76,-3.001,0.5587
2024-01-18,140.2381298,145.0030496,140.15404298,144.45181378,30778779,4688436698.41,1.5568,0.7902
2024-01-19,143.6950324,147.51631122,143.3213132,144.7227602,26594908,4136034233.34,0.1876,0.6828
2024-01-22,143.414743,149.4409651,140.7519937,145.43282668,40488810,6323471152.62,0.4906,1.0395
2024-01-23,144.81619,148.3665224,143.12511062,143.79780518,32305895,5033058276.4,-1.1242,0.8295
2024-01-24,144.349041,144.80684702,139.68689398,143.39605704,24870983,3776131708.06,-0.2794,0.6386
2024-01-25,142.013296,144.9096198,139.87375358,144.81619,29479609,4503492567.88,0.9904,0.7569
2024-01-26,142.480445,144.33035504,140.1447,140.1447,27181270,4118576147.81,-3.2258,0.6979
2024-01-29,139.62149312,140.87345244,137.36049196,137.36049196,21767500,3235910042.92,-1.9867,0.5589
2024-01-30,135.940359,137.75289712,131.1754392,131.5024435,32727425,4680164654.32,-4.2647,0.8403
2024-01-31,135.47321,142.91022208,134.538912,141.63023382,59522108,8943013792.76,7.7016,1.5282
2024-02-01,141.62089084,142.49913096,138.81799684,139.22908796,27968844,4197978843.17,-1.6954,0.7181
2024-02-02,138.276104,139.210402,133.95030426,136.407508,30706037,4494266567.68,-2.0266,0.7884
2024-02-05,133.24023778,144.349041,132.9506054,141.95723812,47132613,7035622773.05,4.0685,1.2101
2024-02-06,141.25651462,148.79629948,140.91082436,147.92740234,43745926,6828296924.06,4.2056,1.1232
2024-02-07,147.619084,149.29147742,145.750488,149.1139608,36607040,5800699416.45,0.8021,0.9399
2024-02-08,149.020531,154.15917,148.44126624,152.14108632,30901156,5016344779.04,2.0301,0.7934
2024-02-19,154.12179808,154.12179808,148.63746882,149.57176682,27092476,4355156562.95,-1.6888,0.6956
2024-02-20,151.24416024,151.24416024,145.81588886,147.92740234,22194791,3506366283.11,-1.0994,0.5698
2024-02-21,147.03981924,152.5708634,146.06814932,150.6088376,25782663,4135575623.96,1.8127,0.662
2024-02-22,150.73029634,150.73029634,148.44126624,149.8146843,20955947,3349275886.97,-0.5273,0.538
2024-02-23,151.32824706,151.356276,148.60943988,149.954829,21017639,3368773226.46,0.0935,0.5396
2024-02-26,148.76827054,149.47833702,144.5359006,145.750488,36066425,5638931754.29,-2.8037,0.926
2024-02-27,144.89093384,147.4789393,144.38641292,147.46025334,29040075,4531078101.31,1.1731,0.7456
2024-02-28,147.78725764,152.5708634,146.69412898,146.69412898,40091711,6423464926.27,-0.5195,1.0294
2024-02-29,145.8439178,153.00998346,145.43282668,152.76706598,39167504,6315294345.27,4.1399,1.0056
2024-03-01,152.78575194,154.68237688,151.7299952,153.7387359,28101336,4610970231.35,0.636,0.7215
2024-03-04,154.15917,156.83126228,152.07568546,153.1314422,26808577,4424835389.74,-0.395,0.6883
2024-03-05,151.4497058,154.3460296,149.48768,153.8321657,27549599,4478109343.91,0.4576,0.7073
2024-03-06,151.89816884,155.9343362,151.0759866,152.88852472,18718009,3067856204.79,-0.6134,0.4806
2024-03-07,152.290574,153.38370266,149.00184504,149.6278247,22145021,3568786297.0,-2.1327,0.5686
2024-03-08,148.67484074,150.2351184,146.3577817,147.619084,20217023,3194520067.02,-1.3425,0.5191
2024-03-11,154.15917,169.7152317,153.3183018,168.9677933,76335047,13248182793.02,14.462,1.9599
2024-03-12,171.29419532,174.18117614,168.17364,173.62994032,62164900,11428112945.34,2.7592,1.5961
2024-03-13,174.713726,175.35839162,171.2568234,173.01330364,34795798,6444102061.72,-0.3551,0.8934
2024-03-14,172.74235722,175.61065208,170.93916208,171.73331538,30535646,5642924971.26,-0.7398,0.784
2024-03-15,171.56514174,171.8174022,165.2306013,169.107938,35483644,6371462215.2,-1.5288,0.911
2024-03-18,177.55399192,181.02958048,176.5356071,178.41354608,48305173,9229188790.08,5.5028,1.2402
2024-03-19,177.97442602,179.6655054,174.3400068,174.9473005,26957576,5099068938.67,-1.9428,0.6921
2024-03-20,173.32162198,178.67514952,173.32162198,177.03078504,21031584,3987105281.59,1.1909,0.54
2024-03-21,177.05881398,179.27310024,176.65706584,176.65706584,18756720,3571619013.59,-0.2111,0.4816
2024-03-22,176.66640882,177.43253318,172.83578702,174.25591998,19103367,3563063417.12,-1.3592,0.4905
2024-03-25,173.37767986,175.8348836,172.35929504,172.6582704,16413365,3046334226.28,-0.9168,0.4214
2024-03-26,173.4991386,180.44097274,173.48979562,179.1983564,30247308,5746016495.95,3.7879,0.7766
2024-03-27,179.14229852,179.1516415,175.648024,175.648024,20645704,3910050276.4,-1.9812,0.5301
2024-03-28,175.71342486,179.1049266,174.3400068,176.37677644,20036725,3792149244.82,0.4149,0.5144
2024-03-29,177.7969094,182.18811,176.93735524,177.66610768,16464806,3154024728.73,0.731,0.4227
2024-04-01,181.253812,186.70076934,180.6932332,184.84151632,27513187,5438688735.17,4.0387,0.7064
2024-04-02,185.0844338,188.32644786,183.589557,186.5793106,24038110,4793028386.5,0.9402,0.6172
2024-04-03,185.86924412,185.8785871,181.8143908,184.6639997,23489041,4635543375.83,-1.0265,0.6031
2024-04-08,184.6639997,186.7661702,181.8143908,181.8143908,18957556,3729974586.66,-1.5431,0.4867
2024-04-09,181.253812,183.589557,180.98286558,183.122408,14570001,2845224466.88,0.7194,0.3741
2024-04-10,181.35658478,182.18811,178.94609594,180.07659652,17961495,3459617610.91,-1.6633,0.4612
2024-04-11,178.27340138,181.5341014,174.713726,179.9457948,19295444,3681659227.96,-0.0726,0.4954
2024-04-12,178.450918,179.36653004,175.65736698,176.01240022,16625645,3153751598.81,-2.1859,0.4269
2024-04-15,181.1136673,184.18750772,179.25441428,184.18750772,30548250,5978911501.32,4.6446,0.7843
2024-04-16,185.925302,186.2055914,182.11336616,184.1968507,27623120,5450235800.73,0.0051,0.7092
2024-04-17,182.5151143,183.99130514,180.33819996,183.11306502,21619164,4211033978.06,-0.5884,0.5551
2024-04-18,181.22578306,184.4771401,178.81529422,182.71131688,19539576,3808772286.51,-0.2194,0.5017
2024-04-19,180.37557188,181.68358908,177.05881398,178.2640584,18491472,3533488436.05,-2.434,0.4748
2024-04-22,180.1326544,182.08533722,178.04916986,178.0771988,15098743,2903026005.69,-0.1048,0.3877
2024-04-23,178.57237674,179.852365,175.53590824,177.45121914,11113796,2113386949.51,-0.3515,0.2853
2024-04-24,179.385216,179.7589352,174.1531472,177.1429008,15154279,2865374635.48,-0.1737,0.3891
2024-04-25,176.18057386,181.5808163,175.54525122,180.5063736,16418323,3150746112.0,1.8987,0.4215
2024-04-26,179.39455898,185.81318624,179.39455898,185.43946704,22488071,4413524312.71,2.7329,0.5774
2024-04-29,187.39214986,199.472623,186.8596,195.85688974,43863035,9119637969.04,5.6177,1.1262
2024-04-30,196.94791648,196.94791648,193.348946,193.9232498,21433024,4377316692.36,-0.9872,0.5503
2024-05-06,201.963503,202.6335241,197.20635319,198.11566754,27099899,5634660009.91,2.1619,0.6958
2024-05-07,197.34992914,198.97712324,196.36404095,198.01995024,13179902,2722386147.53,-0.0483,0.3384
2024-05-08,198.134811,198.9005494,194.41140803,194.52626879,12432997,2544539625.56,-1.7643,0.3192
2024-05-09,197.43607471,201.49448823,197.3690726,200.4320262,21921628,4575999960.06,3.036,0.5628
